,titles,ratings,votes
160,The Best of Youth,8.4,28000.0
161,Dial M for Murder,8.1,204000.0
162,Demon Slayer: Kimetsu no Yaiba Infinity Castle,8.4,64000.0
163,Gone with the Wind,8.2,355000.0
164,The Secret in Their Eyes,8.2,240000.0
165,Chinatown,8.1,375000.0
166,"Lock, Stock and Two Smoking Barrels",8.1,647000.0
167,V for Vendetta,8.1,1200000.0
168,The Chaos Class Failed the Class,8.5,30000.0
169,Catch Me If You Can,8.1,1200000.0
170,Inside Out,8.1,905000.0
171,Rashomon,8.1,195000.0
172,"Three Billboards Outside Ebbing, Missouri",8.1,601000.0
173,Trainspotting,8.1,765000.0
174,The Bridge on the River Kwai,8.1,247000.0
175,Harry Potter and the Deathly Hallows: Part 2,8.1,1000000.0
176,Dead Poets Society,8.1,642000.0
177,The Wild Robot,8.2,215000.0
178,Warrior,8.1,526000.0
179,Fargo,8.1,780000.0
180,Barry Lyndon,8.1,202000.0
181,Raging Bull,8.1,407000.0
182,Ben-Hur,8.1,270000.0
183,Million Dollar Baby,8.1,762000.0
184,Mad Max: Fury Road,8.1,1200000.0
185,Children of Heaven,8.2,89000.0
186,Hacksaw Ridge,8.1,672000.0
187,Gran Torino,8.1,857000.0
188,My Neighbor Totoro,8.1,426000.0
189,12 Years a Slave,8.1,782000.0
190,The Grand Budapest Hotel,8.1,959000.0
191,Ratatouille,8.1,931000.0
192,Before Sunrise,8.1,373000.0
193,Blade Runner,8.1,876000.0
194,Memories of Murder,8.1,262000.0
195,How to Train Your Dragon,8.1,884000.0
196,Spider-Man: No Way Home,8.1,1000000.0
197,Gone Girl,8.1,1200000.0
198,"Monsters, Inc.",8.1,1100000.0
199,Jaws,8.1,731000.0
200,In the Name of the Father,8.1,202000.0
201,Ford v Ferrari,8.1,562000.0
202,Wild Tales,8.1,236000.0
203,The Gold Rush,8.1,127000.0
204,Mary and Max,8.1,201000.0
205,Sherlock Jr.,8.1,65000.0
206,The Deer Hunter,8.1,385000.0
207,The Wages of Fear,8.1,73000.0
208,The General,8.1,106000.0
209,Logan,8.1,918000.0
210,Rocky,8.1,683000.0
211,Mr. Smith Goes to Washington,8.1,129000.0
212,On the Waterfront,8.1,177000.0
213,Tokyo Story,8.1,77000.0
214,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1300000.0
215,Wild Strawberries,8.1,124000.0
216,Spotlight,8.1,532000.0
217,La haine,8.1,223000.0
218,A Silent Voice: The Movie,8.2,137000.0
219,The Terminator,8.1,996000.0
220,The Third Man,8.1,194000.0
221,Maharaja,8.3,80000.0
222,The Sound of Music,8.1,289000.0
223,Jai Bhim,8.6,233000.0
224,The Big Lebowski,8.1,912000.0
225,The Best Years of Our Lives,8.1,77000.0
226,The Seventh Seal,8.1,215000.0
227,Room,8.1,478000.0
228,Before Sunset,8.1,312000.0
229,Hotel Rwanda,8.1,390000.0
230,Chainsaw Man - The Movie: Reze Arc,8.3,46000.0
231,Platoon,8.1,469000.0
232,The Incredibles,8.0,891000.0
233,Hachi: A Dog's Tale,8.1,340000.0
234,The Exorcist,8.1,495000.0
235,Rush,8.1,555000.0
236,The Wizard of Oz,8.1,465000.0
237,Stand by Me,8.1,483000.0
238,The Iron Giant,8.1,257000.0
239,The Passion of Joan of Arc,8.1,68000.0
240,My Father and My Son,8.2,100000.0
241,The Battle of Algiers,8.1,75000.0
242,The Handmaiden,8.1,200000.0
243,Network,8.1,185000.0
244,To Be or Not to Be,8.1,49000.0
245,Drishyam,8.2,107000.0
246,Gangs of Wasseypur,8.2,113000.0
247,The Grapes of Wrath,8.1,108000.0
248,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.2,99000.0
249,Lost Ladies,8.3,58000.0
